날짜,분류,항목,금액
2026-05-02,식비,점심 김밥,6000
2026-05-03,교통,지하철,1400
2026-05-05,문화,영화 관람,14000
2026-05-07,식비,저녁 치킨,20000
2026-05-10,생활,샴푸,8900
2026-05-12,교통,버스,1500
2026-05-15,식비,카페 아메리카노,3000
2026-05-18,문화,도서 구매,15800
2026-05-21,식비,점심 백반,9000
2026-05-25,기타,친구 선물,25000
2026-05-28,교통,택시,9800
2026-05-30,식비,마트 장보기,42000
2026-06-01,생활,세제,6500
2026-06-03,교통,지하철,1400
2026-06-06,식비,점심 파스타,12000
2026-06-09,문화,전시회,18000
2026-06-11,식비,저녁 초밥,28000
2026-06-14,교통,KTX,24000
2026-06-16,기타,병원비,15000
2026-06-19,식비,카페 라떼,3500
2026-06-22,생활,휴지,7200
2026-06-25,식비,점심 국밥,8500
2026-06-27,문화,콘서트,88000
2026-06-30,교통,버스,1500
2026-07-02,식비,저녁 삼겹살,33000
2026-07-04,생활,칫솔,4300
2026-07-06,식비,점심 라멘,11000
2026-07-08,교통,지하철,1400
2026-07-09,문화,영화 관람,15000
2026-07-10,식비,마트 장보기,51000
